源文件: C:\Users\34652\Desktop\20260629_重新搭建方案后日志.log
异常定义: 同一日志行中，行首时间与消息内部 DateTime.Now 时间相差超过 100ms。
异常数量: 854
生成时间: 2026-06-29 22:30:36.023

格式: 行号 | 行首时间 | 内部时间 | 偏差ms | 原始日志

170 | 2026-06-29 20:44:01.894752 | 2026-06-29 20:44:03.133 | 1238.248 | 2026-06-29 20:44:01.894752    Info    进入到回调函数右端子(DA7501958) , 触发次数:0 2026-06-29 20:44:03.133    D:\MyCode\PublicWook\TDJS-Vision\Device\Camera\CameraHik.cs    GetImageCallBack    404    
172 | 2026-06-29 20:44:01.902801 | 2026-06-29 20:44:03.140 | 1237.199 | 2026-06-29 20:44:01.902801    Info    回调函数右端子(DA7501958) 转换Mat成功, 总转换耗时:8ms, 2026-06-29 20:44:03.140    D:\MyCode\PublicWook\TDJS-Vision\Device\Camera\CameraHik.cs    GetImageCallBack    411    
173 | 2026-06-29 20:44:01.903249 | 2026-06-29 20:44:03.141 | 1237.751 | 2026-06-29 20:44:01.903249    Info    流程【端子左】接收Mat图像成功, 尺寸=1280x1024, 通道=3, 接收帧=1, 处理帧=1, 忙碌丢帧=0, 2026-06-29 20:44:03.141    D:\MyCode\PublicWook\TDJS-Vision\Node\1-Acquisition\ImageSource\NodeImageSource.cs    HandleCameraCallbackFrame    209    
174 | 2026-06-29 20:44:01.903267 | 2026-06-29 20:44:03.141 | 1237.733 | 2026-06-29 20:44:01.903267    Info    流程【端子左】相机回调帧已交给专用线程, 入队耗时=0ms, 2026-06-29 20:44:03.141    D:\MyCode\PublicWook\TDJS-Vision\Node\1-Acquisition\ImageSource\NodeImageSource.cs    HandleCameraCallbackFrame    215    
175 | 2026-06-29 20:44:01.903273 | 2026-06-29 20:44:03.141 | 1237.727 | 2026-06-29 20:44:01.903273    Info    回调函数右端子(DA7501958) 执行完毕, 总耗时:8ms, 2026-06-29 20:44:03.141    D:\MyCode\PublicWook\TDJS-Vision\Device\Camera\CameraHik.cs    GetImageCallBack    424    
176 | 2026-06-29 20:44:01.903278 | 2026-06-29 20:44:03.141 | 1237.722 | 2026-06-29 20:44:01.903278    Info    流程【端子左】专用线程执行Run方法, 排队等待=0ms, 执行次数=1, 2026-06-29 20:44:03.141    D:\MyCode\PublicWook\TDJS-Vision\Node\1-Acquisition\ImageSource\NodeImageSource.cs    RunPendingCallbackFrame    275    
179 | 2026-06-29 20:44:01.905184 | 2026-06-29 20:44:03.143 | 1237.816 | 2026-06-29 20:44:01.905184    Info    流程端子左AI检测开始2026-06-29 20:44:03.143！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\NodeTDAI.cs    Run    67    
180 | 2026-06-29 20:44:01.905200 | 2026-06-29 20:44:03.143 | 1237.8 | 2026-06-29 20:44:01.905200    Info    流程端子左AI检测,图像获取完毕2026-06-29 20:44:03.143！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\NodeTDAI.cs    Run    74    
184 | 2026-06-29 20:44:01.915881 | 2026-06-29 20:44:03.154 | 1238.119 | 2026-06-29 20:44:01.915881    Info    流程端子左AI检测,Modbus地址56 获取完毕:5, 2026-06-29 20:44:03.154！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\NodeTDAI.cs    Run    136    
185 | 2026-06-29 20:44:01.937822 | 2026-06-29 20:44:03.176 | 1238.178 | 2026-06-29 20:44:01.937822    Info    流程端子左AI检测推理完毕,结果数量:5 2026-06-29 20:44:03.176！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\NodeTDAI.cs    Run    163    
186 | 2026-06-29 20:44:01.937992 | 2026-06-29 20:44:03.176 | 1238.008 | 2026-06-29 20:44:01.937992    Info    流程端子左AI检测结果值:下标:4  Box:465,671,115,148 ---下标:1  Box:665,698,139,67 ---下标:2  Box:623,697,42,80 ---下标:3  Box:580,694,43,90 ---下标:0  Box:804,700,25,55 --- 2026-06-29 20:44:03.176！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\Parse\RL12Parse.cs    Parse    54    
187 | 2026-06-29 20:44:01.939640 | 2026-06-29 20:44:03.177 | 1237.36 | 2026-06-29 20:44:01.939640    Info    流程端子左AI检测结果运算完毕2026-06-29 20:44:03.177！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\NodeTDAI.cs    Run    174    
188 | 2026-06-29 20:44:01.939660 | 2026-06-29 20:44:03.177 | 1237.34 | 2026-06-29 20:44:01.939660    Info    流程端子左AI检测完毕2026-06-29 20:44:03.177！    D:\MyCode\PublicWook\TDJS-Vision\Node\3-Detection\TDAI\NodeTDAI.cs    Run    289    
193 | 2026-06-29 20:44:01.946510 | 2026-06-29 20:44:03.184 | 1237.49 | 2026-06-29 20:44:01.946510    Fatal    流程端子左Modbus发送信号开始2026-06-29 20:44:03.184    D:\MyCode\PublicWook\TDJS-Vision\Node\5-EquipmentCommunication\ModbusWrite\NodeModbusWrite.cs    Run    49    
194 | 2026-06-29 20:44:01.948324 | 2026-06-29 20:44:03.187 | 1238.676 | 2026-06-29 20:44:01.948324    Fatal    流程端子左Modbus发送信号完毕2026-06-29 20:44:03.187    D:\MyCode\PublicWook\TDJS-Vision\Node\5-EquipmentCommunication\ModbusWrite\NodeModbusWrite.cs    Run    152    
200 | 2026-06-29 20:44:01.952637 | 2026-06-29 20:44:03.190 | 1237.363 | 2026-06-29 20:44:01.952637    Info    流程【端子左】专用线程Run结束, 耗时=49ms, 2026-06-29 20:44:03.190    D:\MyCode\PublicWook\TDJS-Vision\Node\1-Acquisition\ImageSource\NodeImageSource.cs    RunPendingCallbackFrame    287    
203 | 2026-06-29 20:44:06.304147 | 2026-06-29 20:44:07.542 | 1237.853 | 2026-06-29 20:44:06.304147    Info    进入到回调函数右线芯(DA7501923) , 触发次数:2 2026-06-29 20:44:07.542    D:\MyCode\PublicWook\TDJS-Vision\Device\Camera\CameraHik.cs    GetImageCallBack    404    
204 | 2026-06-29 20:44:06.304171 | 2026-06-29 20:44:07.542 | 1237.829 | 2026-06-29 20:44:06.304171    Info    进入到回调函数左线芯(DA7501925) , 触发次数:2 2026-06-29 20:44:07.542    D:\MyCode\PublicWook\TDJS-Vision\Device\Camera\CameraHik.cs    GetImageCallBack    404    
