模块,原图,标注图,编号,说明,归一化矩形
3D图像显示,046-TDJS_Vision.Node._1_Acquisition.ImageShow3D.ParamFormImageShow3D.png,001-3D图像显示.png,1,订阅三维图像结果,"0.0500,0.1200,0.9500,0.5400"
3D图像显示,046-TDJS_Vision.Node._1_Acquisition.ImageShow3D.ParamFormImageShow3D.png,001-3D图像显示.png,2,选择显示窗口,"0.0500,0.5000,0.9500,0.7800"
3D图像显示,046-TDJS_Vision.Node._1_Acquisition.ImageShow3D.ParamFormImageShow3D.png,001-3D图像显示.png,3,确认三维显示配置,"0.2600,0.7600,0.7400,0.9600"
3D图像源,049-TDJS_Vision.Node._1_Acquisition.ImageSource3D.ParamFormImageSource3D.png,002-3D图像源.png,1,选择三维相机,"0.0400,0.1200,0.9600,0.3400"
3D图像源,049-TDJS_Vision.Node._1_Acquisition.ImageSource3D.ParamFormImageSource3D.png,002-3D图像源.png,2,设置取图模式、超时和点数,"0.0400,0.3000,0.9600,0.7600"
3D图像源,049-TDJS_Vision.Node._1_Acquisition.ImageSource3D.ParamFormImageSource3D.png,002-3D图像源.png,3,确认三维取图配置,"0.3000,0.7400,0.7000,0.9600"
AI检测,062-TDJS_Vision.Node._3_Detection.TDAI.ParamFormTDAI.png,003-AI检测.png,1,选择输入图像或上游结果,"0.0200,0.0800,0.4500,0.2900"
AI检测,062-TDJS_Vision.Node._3_Detection.TDAI.ParamFormTDAI.png,003-AI检测.png,2,设置AI检测关键参数,"0.0200,0.2700,0.4600,0.8400"
AI检测,062-TDJS_Vision.Node._3_Detection.TDAI.ParamFormTDAI.png,003-AI检测.png,3,查看 ROI 或运行效果,"0.4400,0.0800,0.9800,0.8600"
AI检测,062-TDJS_Vision.Node._3_Detection.TDAI.ParamFormTDAI.png,003-AI检测.png,4,执行并确认,"0.4400,0.8500,0.9800,0.9900"
AI结果绘制,105-TDJS_Vision.Node._7_ResultProcessing.ImageDraw.NodeParamFormImageDraw.png,004-AI结果绘制.png,1,选择输入图像或上游结果,"0.0200,0.0800,0.4500,0.2900"
AI结果绘制,105-TDJS_Vision.Node._7_ResultProcessing.ImageDraw.NodeParamFormImageDraw.png,004-AI结果绘制.png,2,设置AI结果绘制关键参数,"0.0200,0.2700,0.4600,0.8400"
AI结果绘制,105-TDJS_Vision.Node._7_ResultProcessing.ImageDraw.NodeParamFormImageDraw.png,004-AI结果绘制.png,3,查看 ROI 或运行效果,"0.4400,0.0800,0.9800,0.8600"
AI结果绘制,105-TDJS_Vision.Node._7_ResultProcessing.ImageDraw.NodeParamFormImageDraw.png,004-AI结果绘制.png,4,执行并确认,"0.4400,0.8500,0.9800,0.9900"
AI训练入口,011-TDJS_Vision.Forms.AiTrainForm.UnsupervisedTrainForm.png,005-AI训练入口.png,1,选择训练图像路径,"0.0200,0.0800,0.9800,0.2500"
AI训练入口,011-TDJS_Vision.Forms.AiTrainForm.UnsupervisedTrainForm.png,005-AI训练入口.png,2,查看样本分类数量,"0.0100,0.2200,0.2400,0.9800"
AI训练入口,011-TDJS_Vision.Forms.AiTrainForm.UnsupervisedTrainForm.png,005-AI训练入口.png,3,进入训练配置和执行区域,"0.2200,0.2200,0.9800,0.9800"
C#脚本,093-TDJS_Vision.Node._6_LogicTool.CSharpScript.NodeParamFormCSharpScript.png,006-C#脚本.png,1,选择条件、变量或目标流程,"0.0500,0.1000,0.9500,0.3600"
C#脚本,093-TDJS_Vision.Node._6_LogicTool.CSharpScript.NodeParamFormCSharpScript.png,006-C#脚本.png,2,设置C#脚本参数,"0.0500,0.3400,0.9500,0.7800"
C#脚本,093-TDJS_Vision.Node._6_LogicTool.CSharpScript.NodeParamFormCSharpScript.png,006-C#脚本.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
Modbus写,081-TDJS_Vision.Node._5_EquipmentCommunication.ModbusWrite.ParamFormModbusWrite.png,007-Modbus写.png,1,选择通信设备或信号来源,"0.0500,0.1000,0.9500,0.3600"
Modbus写,081-TDJS_Vision.Node._5_EquipmentCommunication.ModbusWrite.ParamFormModbusWrite.png,007-Modbus写.png,2,设置Modbus写参数,"0.0500,0.3400,0.9500,0.7800"
Modbus写,081-TDJS_Vision.Node._5_EquipmentCommunication.ModbusWrite.ParamFormModbusWrite.png,007-Modbus写.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
Modbus读,079-TDJS_Vision.Node._5_EquipmentCommunication.ModbusRead.ParamFormModbusRead.png,008-Modbus读.png,1,选择通信设备或信号来源,"0.0500,0.1000,0.9500,0.3600"
Modbus读,079-TDJS_Vision.Node._5_EquipmentCommunication.ModbusRead.ParamFormModbusRead.png,008-Modbus读.png,2,设置Modbus读参数,"0.0500,0.3400,0.9500,0.7800"
Modbus读,079-TDJS_Vision.Node._5_EquipmentCommunication.ModbusRead.ParamFormModbusRead.png,008-Modbus读.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
Modbus软触发,080-TDJS_Vision.Node._5_EquipmentCommunication.ModbusSoftTrigger.ParamFormModbusSoftTrigger.png,009-Modbus软触发.png,1,选择通信设备或信号来源,"0.0500,0.1000,0.9500,0.3600"
Modbus软触发,080-TDJS_Vision.Node._5_EquipmentCommunication.ModbusSoftTrigger.ParamFormModbusSoftTrigger.png,009-Modbus软触发.png,2,设置Modbus软触发参数,"0.0500,0.3400,0.9500,0.7800"
Modbus软触发,080-TDJS_Vision.Node._5_EquipmentCommunication.ModbusSoftTrigger.ParamFormModbusSoftTrigger.png,009-Modbus软触发.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
Modbus通信,030-TDJS_Vision.Forms.ModbusAdd.FrmModbusListView.png,010-Modbus通信.png,1,设备列表与新增入口,"0.0100,0.0600,0.2600,0.9800"
Modbus通信,030-TDJS_Vision.Forms.ModbusAdd.FrmModbusListView.png,010-Modbus通信.png,2,设置Modbus通信通信参数,"0.2500,0.0600,0.9900,0.9800"
PLC写,085-TDJS_Vision.Node._5_EquipmentCommunication.PlcWirte.ParamFormPlcWrite.png,011-PLC写.png,1,选择通信设备或信号来源,"0.0500,0.1000,0.9500,0.3600"
PLC写,085-TDJS_Vision.Node._5_EquipmentCommunication.PlcWirte.ParamFormPlcWrite.png,011-PLC写.png,2,设置PLC写参数,"0.0500,0.3400,0.9500,0.7800"
PLC写,085-TDJS_Vision.Node._5_EquipmentCommunication.PlcWirte.ParamFormPlcWrite.png,011-PLC写.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
PLC读,083-TDJS_Vision.Node._5_EquipmentCommunication.PlcRead.ParamFormPlcRead.png,012-PLC读.png,1,选择通信设备或信号来源,"0.0500,0.1000,0.9500,0.3600"
PLC读,083-TDJS_Vision.Node._5_EquipmentCommunication.PlcRead.ParamFormPlcRead.png,012-PLC读.png,2,设置PLC读参数,"0.0500,0.3400,0.9500,0.7800"
PLC读,083-TDJS_Vision.Node._5_EquipmentCommunication.PlcRead.ParamFormPlcRead.png,012-PLC读.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
PLC软触发,084-TDJS_Vision.Node._5_EquipmentCommunication.PLCSoftTrigger.ParamFormWaitSoftTrigger.png,013-PLC软触发.png,1,选择通信设备或信号来源,"0.0500,0.1000,0.9500,0.3600"
PLC软触发,084-TDJS_Vision.Node._5_EquipmentCommunication.PLCSoftTrigger.ParamFormWaitSoftTrigger.png,013-PLC软触发.png,2,设置PLC软触发参数,"0.0500,0.3400,0.9500,0.7800"
PLC软触发,084-TDJS_Vision.Node._5_EquipmentCommunication.PLCSoftTrigger.ParamFormWaitSoftTrigger.png,013-PLC软触发.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
PLC通信,032-TDJS_Vision.Forms.PLCAdd.FrmPLCListView.png,014-PLC通信.png,1,设备列表与新增入口,"0.0100,0.0600,0.2600,0.9800"
PLC通信,032-TDJS_Vision.Forms.PLCAdd.FrmPLCListView.png,014-PLC通信.png,2,设置PLC通信通信参数,"0.2500,0.0600,0.9900,0.9800"
ROI结果绘制,107-TDJS_Vision.Node._7_ResultProcessing.ResultOverlayDraw.NodeParamFormResultOverlayDraw.png,015-ROI结果绘制.png,1,选择输入图像或上游结果,"0.0200,0.0800,0.4500,0.2900"
ROI结果绘制,107-TDJS_Vision.Node._7_ResultProcessing.ResultOverlayDraw.NodeParamFormResultOverlayDraw.png,015-ROI结果绘制.png,2,设置ROI结果绘制关键参数,"0.0200,0.2700,0.4600,0.8400"
ROI结果绘制,107-TDJS_Vision.Node._7_ResultProcessing.ResultOverlayDraw.NodeParamFormResultOverlayDraw.png,015-ROI结果绘制.png,3,查看 ROI 或运行效果,"0.4400,0.0800,0.9800,0.8600"
ROI结果绘制,107-TDJS_Vision.Node._7_ResultProcessing.ResultOverlayDraw.NodeParamFormResultOverlayDraw.png,015-ROI结果绘制.png,4,执行并确认,"0.4400,0.8500,0.9800,0.9900"
ROI结果绘制2,108-TDJS_Vision.Node._7_ResultProcessing.ResultOverlayDraw2.NodeParamFormResultOverlayDraw2.png,016-ROI结果绘制2.png,1,选择输入图像或上游结果,"0.0200,0.0800,0.4500,0.2900"
ROI结果绘制2,108-TDJS_Vision.Node._7_ResultProcessing.ResultOverlayDraw2.NodeParamFormResultOverlayDraw2.png,016-ROI结果绘制2.png,2,设置ROI结果绘制2关键参数,"0.0200,0.2700,0.4600,0.8400"
ROI结果绘制2,108-TDJS_Vision.Node._7_ResultProcessing.ResultOverlayDraw2.NodeParamFormResultOverlayDraw2.png,016-ROI结果绘制2.png,3,查看 ROI 或运行效果,"0.4400,0.0800,0.9800,0.8600"
ROI结果绘制2,108-TDJS_Vision.Node._7_ResultProcessing.ResultOverlayDraw2.NodeParamFormResultOverlayDraw2.png,016-ROI结果绘制2.png,4,执行并确认,"0.4400,0.8500,0.9800,0.9900"
TCP响应,087-TDJS_Vision.Node._5_EquipmentCommunication.TcpServer.ParamFormTCPServer.png,017-TCP响应.png,1,选择通信设备或信号来源,"0.0500,0.1000,0.9500,0.3600"
TCP响应,087-TDJS_Vision.Node._5_EquipmentCommunication.TcpServer.ParamFormTCPServer.png,017-TCP响应.png,2,设置TCP响应参数,"0.0500,0.3400,0.9500,0.7800"
TCP响应,087-TDJS_Vision.Node._5_EquipmentCommunication.TcpServer.ParamFormTCPServer.png,017-TCP响应.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
TCP请求,086-TDJS_Vision.Node._5_EquipmentCommunication.TcpClient.ParamFormTCPClient.png,018-TCP请求.png,1,选择通信设备或信号来源,"0.0500,0.1000,0.9500,0.3600"
TCP请求,086-TDJS_Vision.Node._5_EquipmentCommunication.TcpClient.ParamFormTCPClient.png,018-TCP请求.png,2,设置TCP请求参数,"0.0500,0.3400,0.9500,0.7800"
TCP请求,086-TDJS_Vision.Node._5_EquipmentCommunication.TcpClient.ParamFormTCPClient.png,018-TCP请求.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
TCP通信,042-TDJS_Vision.Forms.TCPAdd.FrmTCPListView.png,019-TCP通信.png,1,设备列表与新增入口,"0.0100,0.0600,0.2600,0.9800"
TCP通信,042-TDJS_Vision.Forms.TCPAdd.FrmTCPListView.png,019-TCP通信.png,2,设置TCP通信通信参数,"0.2500,0.0600,0.9900,0.9800"
三维相机,049-TDJS_Vision.Node._1_Acquisition.ImageSource3D.ParamFormImageSource3D.png,020-三维相机.png,1,选择三维相机,"0.0400,0.1200,0.9600,0.3400"
三维相机,049-TDJS_Vision.Node._1_Acquisition.ImageSource3D.ParamFormImageSource3D.png,020-三维相机.png,2,设置图像模式和取图参数,"0.0400,0.3000,0.9600,0.7600"
