模块,原图,标注图,编号,说明,可见对象键
3D图像显示,001-3D图像显示.png,001-3D图像显示.png,1,订阅三维图像结果,订阅三维图像结果
3D图像显示,001-3D图像显示.png,001-3D图像显示.png,2,选择显示窗口,选择显示窗口
3D图像显示,001-3D图像显示.png,001-3D图像显示.png,3,确认三维显示配置,确认三维显示配置
3D图像源,002-3D图像源.png,002-3D图像源.png,1,选择三维相机,选择三维相机
3D图像源,002-3D图像源.png,002-3D图像源.png,2,设置取图模式、超时和点数,设置取图模式、超时和点数
3D图像源,002-3D图像源.png,002-3D图像源.png,3,确认三维取图配置,确认三维取图配置
AI检测,003-AI检测.png,003-AI检测.png,1,选择输入图像或上游结果,选择输入图像或上游结果
AI检测,003-AI检测.png,003-AI检测.png,2,设置AI检测关键参数,设置AI检测关键参数
AI检测,003-AI检测.png,003-AI检测.png,3,查看 ROI 或运行效果,查看 ROI 或运行效果
AI检测,003-AI检测.png,003-AI检测.png,4,执行并确认,执行并确认
AI结果绘制,004-AI结果绘制.png,004-AI结果绘制.png,1,选择输入图像或上游结果,选择输入图像或上游结果
AI结果绘制,004-AI结果绘制.png,004-AI结果绘制.png,2,设置AI结果绘制关键参数,设置AI结果绘制关键参数
AI结果绘制,004-AI结果绘制.png,004-AI结果绘制.png,3,查看 ROI 或运行效果,查看 ROI 或运行效果
AI结果绘制,004-AI结果绘制.png,004-AI结果绘制.png,4,执行并确认,执行并确认
AI训练入口,005-AI训练入口.png,005-AI训练入口.png,1,选择训练图像路径,选择训练图像路径
AI训练入口,005-AI训练入口.png,005-AI训练入口.png,2,查看样本分类数量,查看样本分类数量
AI训练入口,005-AI训练入口.png,005-AI训练入口.png,3,进入训练配置和执行区域,进入训练配置和执行区域
C#脚本,006-C#脚本.png,006-C#脚本.png,1,选择条件、变量或目标流程,选择条件、变量或目标流程
C#脚本,006-C#脚本.png,006-C#脚本.png,2,设置C#脚本参数,设置C#脚本参数
C#脚本,006-C#脚本.png,006-C#脚本.png,3,保存或确认配置,保存或确认配置
Modbus写,007-Modbus写.png,007-Modbus写.png,1,选择通信设备或信号来源,选择通信设备或信号来源
Modbus写,007-Modbus写.png,007-Modbus写.png,2,设置Modbus写参数,设置Modbus写参数
Modbus写,007-Modbus写.png,007-Modbus写.png,3,保存或确认配置,保存或确认配置
Modbus读,008-Modbus读.png,008-Modbus读.png,1,选择通信设备或信号来源,选择通信设备或信号来源
Modbus读,008-Modbus读.png,008-Modbus读.png,2,设置Modbus读参数,设置Modbus读参数
Modbus读,008-Modbus读.png,008-Modbus读.png,3,保存或确认配置,保存或确认配置
Modbus软触发,009-Modbus软触发.png,009-Modbus软触发.png,1,选择通信设备或信号来源,选择通信设备或信号来源
Modbus软触发,009-Modbus软触发.png,009-Modbus软触发.png,2,设置Modbus软触发参数,设置Modbus软触发参数
Modbus软触发,009-Modbus软触发.png,009-Modbus软触发.png,3,保存或确认配置,保存或确认配置
Modbus通信,010-Modbus通信.png,010-Modbus通信.png,1,设备列表与新增入口,设备列表与新增入口
