编号,分类,模块,窗口标题,文件名,状态,备注
001,平台基础,运行日志,,001-平台基础-软件启动-主窗口.png,已捕获,Release 主程序运行
002,平台基础,主界面与视图管理、流程画布、运行控制,,002-平台基础-主界面-停止运行状态.png,已捕获,Release 主程序运行
010,实际窗体,补充界面,大模型训练界面,010-TDJS_Vision.Forms.AiTrainForm.LargeModelTrainForm.png,已捕获,Release 真实窗体加载
011,平台基础,AI训练入口,无监督训练界面,011-TDJS_Vision.Forms.AiTrainForm.UnsupervisedTrainForm.png,已捕获,Release 真实窗体加载
012,设备能力,二维工业相机,设备添加,012-TDJS_Vision.Forms.CameraAdd.FrmCameraInfo.png,已捕获,Release 真实窗体加载
013,实际窗体,补充界面,相机管理,013-TDJS_Vision.Forms.CameraAdd.FrmCameraListView.png,已捕获,Release 真实窗体加载
014,设备能力,串口通信,串口设备管理,014-TDJS_Vision.Forms.COMAdd.FrmCOMListView.png,已捕获,Release 真实窗体加载
015,实际窗体,补充界面,添加串口,015-TDJS_Vision.Forms.COMAdd.FrmCOMNew.png,已捕获,Release 真实窗体加载
016,平台基础,检测项配置,检测项管理,016-TDJS_Vision.Forms.DetectItemManager.FormDetectItemManager.png,已捕获,Release 真实窗体加载
017,平台基础,全局信号,全局信号设置,017-TDJS_Vision.Forms.GlobalSignalSettings.FormGlobalSignal.png,已捕获,Release 真实窗体加载
018,实际窗体,补充界面,联系我们,018-TDJS_Vision.Forms.Helper.ContactUsFormForm.png,已捕获,Release 真实窗体加载
019,实际窗体,补充界面,关于鹰眼智检系统,019-TDJS_Vision.Forms.Helper.FrmAbout.png,已捕获,Release 真实窗体加载
020,实际窗体,补充界面,ImageViewer.CanvasLayoutTitle,020-TDJS_Vision.Forms.ImageViewer.CanvasSet.png,已捕获,Release 真实窗体加载
021,实际窗体,补充界面,检测图像,021-TDJS_Vision.Forms.ImageViewer.FrmImageViewer.png,已捕获,Release 真实窗体加载
026,设备能力,光源控制器,光源管理,026-TDJS_Vision.Forms.LightAdd.FrmLightListView.png,已捕获,Release 真实窗体加载
027,实际窗体,补充界面,添加光源,027-TDJS_Vision.Forms.LightAdd.FrmLightNew.png,已捕获,Release 真实窗体加载
028,平台基础,用户登录与权限,登录,028-TDJS_Vision.Forms.Login.FormLogin.png,已捕获,Release 真实窗体加载
029,实际窗体,补充界面,,029-TDJS_Vision.Forms.LogoView.FrmLogo.png,已捕获,Release 真实窗体加载
030,设备能力,Modbus通信,Modbus设备管理,030-TDJS_Vision.Forms.ModbusAdd.FrmModbusListView.png,已捕获,Release 真实窗体加载
031,实际窗体,补充界面,添加Modbus,031-TDJS_Vision.Forms.ModbusAdd.FrmModbusNew.png,已捕获,Release 真实窗体加载
032,设备能力,PLC通信,PLC设备管理,032-TDJS_Vision.Forms.PLCAdd.FrmPLCListView.png,已捕获,Release 真实窗体加载
033,实际窗体,补充界面,添加PLC,033-TDJS_Vision.Forms.PLCAdd.FrmPLCNew.png,已捕获,Release 真实窗体加载
034,平台基础,方案管理、流程管理,ProcessNew.EditorTitle,034-TDJS_Vision.Forms.ProcessNew.FormNewProcessWizard.png,已捕获,Release 真实窗体加载
035,实际窗体,补充界面,ProcessNew.SetGroup,035-TDJS_Vision.Forms.ProcessNew.FormProcessGroupSetting.png,已捕获,Release 真实窗体加载
036,实际窗体,补充界面,ProcessNew.RenameProcess,036-TDJS_Vision.Forms.ProcessNew.FormProcessRename.png,已捕获,Release 真实窗体加载
037,实际窗体,补充界面,ProcessNew.SetPriority,037-TDJS_Vision.Forms.ProcessNew.FormSetProcessLv.png,已捕获,Release 真实窗体加载
038,结果处理,检测结果显示,检测结果,038-TDJS_Vision.Forms.ResultView.FrmResultView.png,已捕获,Release 真实窗体加载
039,实际窗体,补充界面,SelectDetectItem.Title,039-TDJS_Vision.Forms.SelectDetectItem.FormSelectDetectItem.png,已捕获,Release 真实窗体加载
040,平台基础,运行参数,SolRunParam.Title,040-TDJS_Vision.Forms.SolRunParam.FormSolRunParam.png,已捕获,Release 真实窗体加载
041,平台基础,系统设置,系统设置,041-TDJS_Vision.Forms.SystemSetting.FrmSystemSetting.png,已捕获,Release 真实窗体加载
042,设备能力,TCP通信,TCP设备管理,042-TDJS_Vision.Forms.TCPAdd.FrmTCPListView.png,已捕获,Release 真实窗体加载
